claim,veracity,urls,reasoning
"El consumo de vitamina C previene el contagio del resfriado común.","No concluyente","https://www.cochrane.org/es/CD000980/ARI_vitamina-c-para-la-prevencion-y-el-tratamiento-del-resfriado-comun","Aunque reduce ligeramente la duración en algunos casos, no evita el contagio en la población general según metaestudios."
"Las redes 5G son responsables de la propagación de virus biológicos.","Contradice","https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters","Los virus no se desplazan a través de ondas de radio ni redes móviles; es físicamente imposible."
"El hombre llegó a la Luna en la misión Apolo 11 en 1969.","Apoya","https://www.nasa.gov/mission_pages/apollo/apollo11.html","Existen pruebas físicas, fotografías y muestras de rocas lunares traídas por los astronautas."
"Beber agua con limón en ayunas quema grasa abdominal de forma inmediata.","Contradice","https://www.healthline.com/nutrition/lemon-water-for-weight-loss","No hay evidencia científica de que el agua con limón tenga propiedades termogénicas o quemagrasas por sí misma."
"El Salvador adoptó el Bitcoin como moneda de curso legal en 2021.","Apoya","https://www.bbc.com/mundo/noticias-america-latina-57386630","La Asamblea Legislativa de El Salvador aprobó la Ley Bitcoin en junio de 2021."
"La Gran Muralla China es visible desde el espacio a simple vista.","Contradice","https://www.nasa.gov/vision/space/workinginspace/great_wall.html","Es muy difícil de ver debido a que sus materiales se mezclan con el entorno; se necesita ayuda óptica."
"El cambio climático actual está causado principalmente por la actividad humana.","Apoya","https://www.ipcc.ch/report/ar6/wg1/","El consenso científico global confirma que las emisiones de GEI por actividad humana son el motor principal del calentamiento."
"El uso de edulcorantes artificiales causa cáncer en humanos a dosis normales.","No concluyente","https://www.cancer.gov/about-cancer/causes-prevention/risk/diet/artificial-sweeteners-fact-sheet","Los estudios en humanos no han mostrado evidencia clara de causalidad a pesar de estudios controvertidos en roedores."
"Las vacunas de ARNm alteran el ADN humano de forma permanente.","Contradice","https://www.cdc.gov/coronavirus/2019-ncov/vaccines/different-vacines/mrna.html","El ARNm nunca entra al núcleo de la célula, donde se encuentra el ADN."
"La inteligencia artificial General (AGI) se alcanzará antes del año 2030.","No concluyente","https://www.technologyreview.com/2023/10/26/1082398/agi-definition/","Es un tema de debate intenso entre expertos; no hay consenso sobre la fecha ni sobre la definición exacta de AGI."
"Caminar 10.000 pasos al día es el mínimo necesario para estar saludable.","No concluyente","https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2734709","La cifra de 10.000 fue una estrategia de marketing japonesa; beneficios significativos empiezan desde los 4.000 a 7.000 pasos."
"Los toros se enfurecen al ver el color rojo.","Contradice","https://www.livescience.com/32644-do-bulls-really-see-red.html","Los toros son daltónicos para el rojo; reaccionan al movimiento de la capa, no al color."
"Islandia no tiene mosquitos debido a su ecosistema único.","Apoya","https://www.nytimes.com/2019/11/02/world/europe/iceland-mosquitoes.html","A diferencia de Groenlandia, las condiciones climáticas y químicas de Islandia impiden su ciclo de reproducción."
"Dormir con plantas en la habitación es peligroso porque roban el oxígeno.","Contradice","https://www.rhs.org.uk/plants/types/houseplants/plants-in-bedrooms","La cantidad de oxígeno que consume una planta es insignificante comparada con la de un ser humano o mascota."
"El Sol es de color amarillo.","Contradice","https://www.nasa.gov/image-article/the-sun-is-white/","El Sol emite todos los colores del espectro y es esencialmente blanco; lo vemos amarillo por la atmósfera terrestre."
"Existen microchips en las vacunas para rastrear a la población.","Contradice","https://www.reuters.com/article/factcheck-vaccine-microchip-idUSL1N2MG1HD","No existe tecnología de microchips lo suficientemente pequeña para pasar por una aguja hipodérmica y funcionar sin energía externa."
"El aceite de coco es más saludable que el aceite de oliva.","Contradice","https://www.heart.org/en/news/2018/05/01/advisory-replacing-saturated-fat-with-healthier-fat-could-lower-cardiovascular-risk","El aceite de coco tiene un alto contenido de grasas saturadas que pueden elevar el colesterol LDL."
"La temperatura de ebullición del agua es menor a grandes altitudes.","Apoya","https://www.usgs.gov/special-topics/water-science-school/science/boiling-point-water","A menor presión atmosférica, el agua requiere menos energía térmica para convertirse en vapor."
"Los humanos solo utilizan el 10% de su capacidad cerebral.","Contradice","https://www.scientificamerican.com/article/do-people-only-use-10-percent-of-their-brains/","Pruebas de imagenología muestran que utilizamos prácticamente todas las partes del cerebro a lo largo del día."
"El grafeno es el material más resistente y delgado conocido.","Apoya","https://www.nature.com/articles/nnanotech.2008.189","Es una capa de átomos de carbono con propiedades mecánicas y eléctricas excepcionales documentadas."
"Crujir los nudillos causa artritis a largo plazo.","Contradice","https://www.health.harvard.edu/blog/knuckle-cracking-annoying-but-harmless-201405147183","Estudios comparativos no han encontrado una mayor incidencia de artritis en personas que se crujen los nudillos."
"La luz azul de las pantallas daña irreversiblemente la retina.","No concluyente","https://www.aao.org/eye-health/tips-prevention/should-you-be-worried-about-blue-light","Causa fatiga visual y altera el sueño, pero no hay pruebas concluyentes de daño permanente en humanos por uso normal."
"El azúcar causa hiperactividad en los niños.","Contradice","https://www.webmd.com/parenting/features/busting-sugar-hyperactivity-myth","Metaanálisis de estudios controlados muestran que el azúcar no cambia el comportamiento de los niños; es un sesgo de percepción de los padres."
"Plutón ya no es considerado un planeta principal del sistema solar.","Apoya","https://www.iau.org/public/themes/pluto/","En 2006, la Unión Astronómica Internacional lo reclasificó como planeta enano."
"Comer zanahorias mejora la visión nocturna significativamente.","No concluyente","https://www.scientificamerican.com/article/fact-or-fiction-carrots-improve-your-vision/","Ayudan a mantener la salud ocular por la vitamina A, pero la idea de 'super visión nocturna' fue propaganda británica en la WWII."